# 1.6.1170 patch site -> 1.5.97 offset, by instruction alignment
# generated by Tools/ida/patch_offsets_1597.py
# ae_id	ae_offset	se_offset	note	site
77226	0x175	-	instruction not in an aligned run	window style (BSGraphics::InitWindows dwStyle)
68781	0x57	0x57	aligned on mov (+2 into it)	dinput cooperative level
36548	0xfe	-	instruction not in an aligned run	skip startup movie
51538	0x15	0x15	aligned on jne (+0 into it)	favorites menu numbering
52510	0x84e	0x929	aligned on jne (+0 into it)	stats menu appear
52510	0xa10	0xaec	aligned on or (+0 into it)	stats menu background
52510	0x1040	0xfbc	aligned on je (+0 into it)	stats menu update
52518	0x46	0x46	aligned on jne (+0 into it)	stats menu controls a
52518	0x4a	0x4a	aligned on jne (+4 into it)	stats menu controls b
82082	0x682	0x6a4	aligned on call (+0 into it)	menu unfreeze (call site)
69554	0x63	-	id not mapped on 1.5.97	tasklet thread names (call site)
34452	0x374	-	instruction not in an aligned run	projectile null check (jump out)
34452	0x379	-	instruction not in an aligned run	projectile null check (jump back)
77246	0x9	0x9	aligned on call (+0 into it)	frame end (call site, 1.6 only)
